Year,Neighborhood,Case_Count,Median_Latitude,Median_Longitude
2009,Merced Heights,261,37.71165466,-122.46709442
2009,Merced Manor,29,37.73227692,-122.47592926
2009,Midtown Terrace,25,37.74691391,-122.44786835
2009,Mint Hill,221,37.77136612,-122.42482758
2009,Miraloma Park,77,37.74244308,-122.45098877
2009,Mission,4650,37.75923729,-122.4167099
2009,Mission Bay,77,37.77357483,-122.3938446
2009,Mission Dolores,1538,37.76354599,-122.42502594
2009,Mission Terrace,708,37.729242325,-122.43256378
2009,Monterey Heights,7,37.73383331,-122.46268463
2009,Mt. Davidson Manor,32,37.7261734,-122.46296692
2009,Nob Hill,986,37.79366684,-122.41464996
2009,Noe Valley,298,37.74644852,-122.42880249
2009,North Beach,673,37.79998398,-122.40802765
2009,Northern Waterfront,37,37.79930115,-122.40058136
2009,Oceanview,303,37.71611023,-122.4552002
2009,Outer Mission,244,37.71047974,-122.45203018
2009,Outer Richmond,1690,37.77968979,-122.48794556
2009,Outer Sunset,1369,37.75669479,-122.49628448
2009,Pacific Heights,399,37.79129791,-122.42909241
2009,Panhandle,441,37.77476501,-122.44290924
2009,Parkmerced,8,37.715694424999995,-122.47761535500001
2009,Parkside,485,37.74253082,-122.48748016
2009,Parnassus Heights,60,37.76508522,-122.454216
2009,Peralta Heights,79,37.74762344,-122.40705109
2009,Polk Gulch,910,37.7923851,-122.42105103
2009,Portola,1034,37.7297554,-122.40681458
2009,Potrero Hill,555,37.75468063,-122.40255737
2009,Presidio Heights,73,37.78713608,-122.45297241
2009,Presidio National Park,1,37.79586792,-122.45478058
2009,Presidio Terrace,133,37.7857399,-122.46456909
2009,Produce Market,278,37.7427063,-122.39912415
2009,Rincon Hill,69,37.78633118,-122.3920517
2009,Russian Hill,665,37.80003357,-122.41497803
2009,Seacliff,97,37.78368759,-122.48928833
2009,Sherwood Forest,19,37.74013901,-122.45777893
2009,Showplace Square,206,37.76864624,-122.40545654
2009,Silver Terrace,694,37.73448181,-122.39781189
2009,South Beach,103,37.78123474,-122.39329529
2009,South of Market,3295,37.77801132,-122.40899658
2009,St. Francis Wood,7,37.73923492,-122.46611023
2009,St. Mary's Park,130,37.733924869999996,-122.42735291
2009,Stonestown,59,37.72105789,-122.47521973
2009,Sunnydale,59,37.71001434,-122.41931152
2009,Sunnyside,149,37.7313652,-122.44625854
2009,Sutro Heights,56,37.778965,-122.505607605
2009,Telegraph Hill,137,37.80098724,-122.40620422
2009,Tenderloin,3236,37.78393173,-122.41418457
2009,Union Street,296,37.799129485,-122.42929077
2009,University Mound,107,37.72855377,-122.42037201
2009,Upper Market,116,37.75064087,-122.442890165
2009,Visitacion Valley,616,37.71193314,-122.40822601
2009,West Portal,108,37.74041748,-122.46813202
2009,Western Addition,459,37.77830124,-122.43882751
2009,Westwood Highlands,3,37.73218918,-122.45747375
2009,Westwood Park,35,37.72580719,-122.45633698
2010,Alamo Square,147,37.77499008,-122.43631744
2010,Anza Vista,63,37.78085709,-122.44056702
2010,Apparel City,85,37.7395668,-122.40524292
2010,Aquatic Park / Ft. Mason,36,37.80545807,-122.42144012
2010,Ashbury Heights,76,37.763996125,-122.449207305
2010,Balboa Terrace,8,37.73155594,-122.466682435
2010,Bayview,1924,37.73150253,-122.38885498
2010,Bernal Heights,1164,37.74277115,-122.41822052
2010,Bret Harte,320,37.72097778,-122.39167022500001
2010,Buena Vista,167,37.77051163,-122.43854523
2010,Candlestick Point SRA,29,37.71796036,-122.39261627
2010,Castro,375,37.76219177,-122.43453979
2010,Cathedral Hill,286,37.78780365,-122.423545835
2010,Cayuga,521,37.72001648,-122.4413147
2010,Central Waterfront,247,37.75002289,-122.38941193
2010,Chinatown,271,37.79392624,-122.40665436
2010,Civic Center,740,37.778455735,-122.4187088
2010,Clarendon Heights,65,37.75727463,-122.44496155
2010,Cole Valley,197,37.76815796,-122.44932556
2010,Corona Heights,96,37.76410294,-122.43685913
2010,Cow Hollow,89,37.79829407,-122.44413757
2010,Crocker Amazon,455,37.71234894,-122.4395752
2010,Diamond Heights,54,37.74316025,-122.43872833500001
2010,Dogpatch,94,37.76176453,-122.3894043
2010,Dolores Heights,492,37.75542068,-122.4241333
2010,Downtown / Union Square,431,37.78873062,-122.40686798
2010,Duboce Triangle,824,37.77070999,-122.4302597
2010,Eureka Valley,225,37.75940704,-122.44001007
2010,Excelsior,1076,37.72151947,-122.431633
2010,Fairmount,143,37.73874664,-122.42724609
2010,Financial District,203,37.79101563,-122.39800262
2010,Fisherman's Wharf,43,37.80634308,-122.41194916
2010,Forest Hill,39,37.74907303,-122.4626236
2010,Forest Knolls,49,37.75761795,-122.46182251
2010,Glen Park,113,37.73450851,-122.43499756
2010,Golden Gate Heights,262,37.75303459,-122.47206879
2010,Golden Gate Park,224,37.771787645,-122.48154449
2010,Haight Ashbury,519,37.76986313,-122.44857788
2010,Hayes Valley,331,37.77578735,-122.42617035
2010,Holly Park,303,37.73740768,-122.4237442
2010,Hunters Point,293,37.72742844,-122.38193512
2010,India Basin,50,37.73361588,-122.37697601
2010,Ingleside,435,37.72183609,-122.45819092
2010,Ingleside Terraces,66,37.72548294,-122.46421814
2010,Inner Richmond,980,37.7809391,-122.46871185
2010,Inner Sunset,557,37.76362228,-122.46720886
2010,Japantown,84,37.78672409,-122.430839535
2010,Laguna Honda,35,37.7441597,-122.45644379
2010,Lake Street,85,37.78547287,-122.48058319
2010,Lakeshore,49,37.73056793,-122.49372101
2010,Laurel Heights / Jordan Park,86,37.78373718,-122.45340729
2010,Little Hollywood,47,37.71212769,-122.40001678
2010,Lone Mountain,253,37.78075027,-122.45025635
2010,Lower Haight,931,37.77235031,-122.43043518
2010,Lower Nob Hill,1300,37.78799438,-122.41539001
2010,Lower Pacific Heights,298,37.785943985,-122.44123077
2010,Marina,287,37.80165482,-122.43669128
2010,McLaren Park,25,37.72145844,-122.41246796
2010,Merced Heights,278,37.71218872,-122.46707153
2010,Merced Manor,38,37.732501985,-122.4767952
2010,Midtown Terrace,38,37.748384475,-122.44970703
2010,Mint Hill,152,37.77159119,-122.42485046
2010,Miraloma Park,77,37.74065399,-122.45113373
2010,Mission,4139,37.75883102,-122.41719055
2010,Mission Bay,73,37.77357483,-122.39557648
2010,Mission Dolores,1385,37.76304245,-122.42478943
2010,Mission Terrace,847,37.72961807,-122.43256378
2010,Monterey Heights,7,37.7351799,-122.46047974
2010,Mt. Davidson Manor,42,37.72612381,-122.461597445
2010,Nob Hill,1015,37.7935257,-122.41338348
2010,Noe Valley,531,37.7510643,-122.43164063
2010,North Beach,468,37.80025101,-122.40789795
2010,Northern Waterfront,43,37.79948807,-122.40006256
2010,Oceanview,390,37.71575928,-122.45606232
2010,Outer Mission,400,37.70967484,-122.46018219
2010,Outer Richmond,1528,37.77968979,-122.4876709
2010,Outer Sunset,1396,37.75740051,-122.4967041
2010,Pacific Heights,367,37.79092026,-122.43131256
2010,Panhandle,482,37.77474594,-122.44275665
2010,Parkmerced,15,37.72052002,-122.48174286
2010,Parkside,573,37.74238968,-122.48725128
2010,Parnassus Heights,94,37.7654686,-122.454216
2010,Peralta Heights,108,37.747505185,-122.40751648
2010,Polk Gulch,501,37.79259491,-122.42093658
2010,Portola,1174,37.72943115,-122.40676117
2010,Potrero Hill,509,37.75551987,-122.40216827
2010,Presidio Heights,57,37.78781509,-122.45011902
2010,Presidio National Park,2,37.807426455,-122.47298431
2010,Presidio Terrace,88,37.78565979,-122.46456909
2010,Produce Market,263,37.7429657,-122.39912415
2010,Rincon Hill,50,37.786300659999995,-122.39096832
2010,Russian Hill,697,37.79990387,-122.41509247
2010,Seacliff,103,37.78368759,-122.48928833
2010,Sherwood Forest,29,37.737854,-122.4588089
2010,Showplace Square,196,37.76847458,-122.40570831
2010,Silver Terrace,874,37.73503876,-122.39594269
2010,South Beach,103,37.78123474,-122.39212036
2010,South of Market,3639,37.77761841,-122.40926361
2010,St. Francis Wood,17,37.73830414,-122.46524048
2010,St. Mary's Park,263,37.73457718,-122.42635345
2010,Stonestown,38,37.72557259,-122.474876405
2010,Sunnydale,57,37.70968246,-122.420578
2010,Sunnyside,176,37.73139954,-122.44490051
